,Loss
0,393.73694
1,332.88995
2,358.7978
3,375.38165
4,382.93628
5,377.19305
6,384.09003
7,397.25684
8,410.8719
9,368.31323
10,378.1261
11,385.31744
12,392.3846
13,357.2469
14,401.68073
15,387.62753
16,321.0581
17,396.11633
18,404.03986
19,335.0619
20,388.02484
21,384.41132
22,372.77835
23,395.71277
24,355.07208
25,371.47675
26,379.6615
27,379.76996
28,398.91528
29,391.19742
30,337.14648
31,358.40857
32,377.92712
33,385.7859
34,390.93832
35,340.8534
36,336.48157
37,369.8603
38,336.61536
39,379.69003
40,357.48038
41,353.5384
42,371.18396
43,366.1247
44,352.26233
45,388.32385
46,350.3188
47,356.46893
48,326.84503
49,378.1912
50,371.07422
51,341.24597
52,360.51587
53,367.27493
54,322.60837
55,346.58542
56,354.79407
57,347.97638
58,369.63983
59,326.76218
60,378.4452
61,327.295
62,334.16672
63,393.62262
64,298.13788
65,391.66544
66,363.2832
67,421.54102
68,352.32068
69,306.06226
70,346.59924
71,332.53372
72,356.9128
73,345.71118
74,341.54132
75,369.24542
76,310.95422
77,378.5476
78,347.0093
79,338.03302
80,339.92883
81,339.81705
82,346.0558
83,336.81604
84,299.64703
85,315.04227
86,362.59064
87,316.7217
88,318.93234
89,310.12128
90,294.3955
91,284.4688
92,371.00317
93,341.0639
94,317.00565
95,280.50415
96,359.5525
97,362.45093
98,335.6809
99,351.78973
100,318.77118
101,350.74893
102,358.4512
103,354.67603
104,324.60297
105,318.52664
106,336.00586
107,304.51996
108,341.51358
109,305.50073
110,383.21722
111,340.85236
112,351.08154
113,354.63718
114,325.71527
115,252.89906
116,326.26715
117,303.09167
118,280.7662
119,332.5058
120,312.71448
121,260.98752
122,309.64203
123,315.0175
124,335.83405
125,344.04822
126,323.04422
127,284.63116
128,263.03464
129,324.7703
130,314.48047
131,295.0753
132,297.30487
133,327.6657
134,341.52414
135,276.51276
136,293.01733
137,336.3673
138,305.8023
139,268.17917
140,298.2646
141,315.58417
142,266.52484
143,312.30133
144,306.62964
145,286.43768
146,262.95746
147,275.65826
148,309.8946
149,301.695
150,335.19073
151,288.33148
152,312.81302
153,288.34152
154,300.53696
155,315.8191
156,331.6435
157,288.12698
158,317.53143
159,304.2553
160,308.81628
161,281.51913
162,249.8869
163,323.21463
164,244.41582
165,306.8479
166,270.11963
167,277.92358
168,322.73846
169,302.21545
170,306.1065
171,314.7295
172,299.29565
173,285.40326
174,273.70874
175,289.38196
176,343.06604
177,282.22015
178,296.01355
179,330.1505
180,264.00464
181,353.42072
